t,Va,Vb
-0.00975999888,2.3999999,2.5599999
-0.009739998728,2.3999999,2.3199999
-0.009719998576,2.48,2.6399999
-0.009699999355,2.3999999,2.3199999
-0.009679999202,2.48,2.3999999
-0.00965999905,2.3999999,2.48
-0.009639998898,2.48,2.72000003
-0.009619998746,2.3999999,2.3199999
-0.009599998593,2.48,2.48
-0.009579998441,2.48,2.3999999
-0.00955999922,2.48,2.5599999
-0.009539999068,2.48,2.6399999
-0.009519998915,2.5599999,2.3999999
-0.009499998763,2.5599999,2.48
-0.009479998611,2.3999999,2.48
-0.009459998459,2.3999999,2.79999995
-0.009439999238,2.48,2.3999999
-0.009419999085,2.48,2.5599999
-0.009399998933,2.48,2.3199999
-0.009379998781,2.48,2.6399999
-0.009359998628,2.3999999,2.3999999
-0.009339998476,2.3999999,2.6399999
-0.009319999255,2.48,2.3999999
-0.009299999103,2.3999999,2.3999999
-0.009279998951,2.48,2.6399999
-0.009259998798,2.48,2.6399999
-0.009239998646,2.48,2.6399999
-0.009219998494,2.48,2.5599999
-0.009199999273,2.3999999,2.48
-0.009179999121,2.5599999,2.48
-0.009159998968,2.48,2.6399999
-0.009139998816,2.3999999,2.24
-0.009119998664,2.3199999,2.5599999
-0.009099998511,2.3999999,2.3199999
-0.00907999929,2.48,2.6399999
-0.009059999138,2.3999999,2.48
-0.009039998986,2.3999999,2.6399999
-0.009019998834,2.3199999,2.3999999
-0.008999998681,2.3199999,2.3999999
-0.008979998529,2.3999999,2.5599999
-0.008959999308,2.3199999,2.6399999
-0.008939999156,2.48,2.5599999
-0.008919999003,2.3999999,2.48
-0.008899998851,2.48,2.48
-0.008879998699,2.3999999,2.6399999
-0.008859998547,2.3999999,2.5599999
-0.008839999326,2.3999999,2.48
-0.008819999173,2.3199999,2.5599999
-0.008799999021,2.48,2.3199999
-0.008779998869,2.3999999,2.48
-0.008759998716,2.48,2.48
-0.008739998564,2.5599999,2.48
-0.008719999343,2.3999999,2.5599999
-0.008699999191,2.48,2.6399999
-0.008679999039,2.3999999,2.3999999
-0.008659998886,2.48,2.3199999
-0.008639998734,2.48,2.5599999
-0.008619998582,2.48,2.5599999
-0.008599999361,2.48,2.48
-0.008579999208,2.48,2.6399999
-0.008559999056,2.3999999,2.6399999
-0.008539998904,2.5599999,2.5599999
-0.008519998752,2.48,2.24
-0.008499998599,2.48,2.72000003
-0.008479999378,2.3999999,2.6399999
-0.008459999226,2.48,2.5599999
-0.008439999074,2.48,2.6399999
-0.008419998921,2.48,2.48
-0.008399998769,2.5599999,2.48
-0.008379998617,2.48,2.48
-0.008359998465,2.3999999,2.6399999
-0.008339999244,2.48,2.6399999
-0.008319999091,2.48,2.3199999
-0.008299998939,2.6399999,2.72000003
-0.008279998787,2.48,2.48
-0.008259998634,2.5599999,2.3199999
-0.008239998482,2.48,2.24
